,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
106,VI,1296.0,18676.0,19972.0,,1209.0,19.0,,19980,2020-09-26,Virgin Islands,18.04,-64.84
107,VT,1739.0,158537.0,160276.0,,1580.0,58.0,,160276,2020-09-26,Vermont,44.045876,-72.710686
108,WA,85226.0,1715795.0,1801021.0,7412.0,,2100.0,7412.0,1801021,2020-09-26,Washington,47.400902,-121.490494
109,WI,120231.0,1393412.0,1513643.0,7041.0,94094.0,1291.0,7041.0,1513854,2020-09-26,Wisconsin,44.268543,-89.616508
110,WV,15158.0,527133.0,542291.0,,11121.0,332.0,,542291,2020-09-26,West Virginia,38.491226,-80.954453
111,WY,5465.0,92406.0,97871.0,258.0,4479.0,50.0,258.0,97871,2020-09-26,Wyoming,42.755966,-107.30249
112,AK,8202.0,433130.0,441332.0,,3042.0,51.0,,441332,2020-09-25,Alaska,61.370716,-152.404419
113,AL,150658.0,963364.0,1097595.0,16852.0,64583.0,2491.0,16852.0,1114022,2020-09-25,Alabama,32.806671,-86.79113
114,AR,79946.0,848822.0,926294.0,5202.0,71426.0,1266.0,5202.0,928768,2020-09-25,Arkansas,34.969704,-92.373123
115,AS,0.0,1571.0,1571.0,,,0.0,,1571,2020-09-25,American Samoa,-14.2,-170.69
116,AZ,216367.0,1211657.0,1423603.0,21972.0,34564.0,5587.0,21972.0,1428024,2020-09-25,Arizona,33.729759,-111.431221
117,CA,794040.0,13258207.0,14052247.0,,,15398.0,,14052247,2020-09-25,California,36.116203,-119.681564
118,CO,67217.0,795588.0,1260861.0,7454.0,6384.0,1935.0,7454.0,862805,2020-09-25,Colorado,39.059811,-105.311104
119,CT,56587.0,1462564.0,1519151.0,11560.0,9310.0,4501.0,11560.0,1519151,2020-09-25,Connecticut,41.597782,-72.755371
120,DC,15163.0,358423.0,373586.0,,11990.0,623.0,,373586,2020-09-25,District of Columbia,38.897438,-77.026817
121,DE,20085.0,259289.0,279374.0,,10517.0,631.0,,279374,2020-09-25,Delaware,39.318523,-75.507141
122,FL,695887.0,4510107.0,5205994.0,43793.0,,14083.0,43793.0,5209981,2020-09-25,Florida,27.766279,-81.686783
123,GA,312514.0,2534980.0,2847494.0,28035.0,,6874.0,28035.0,2847494,2020-09-25,Georgia,33.040619,-83.643074
124,GU,2286.0,45970.0,48256.0,,1668.0,41.0,,48256,2020-09-25,Guam,13.45,144.78
125,HI,11779.0,275096.0,286875.0,779.0,5265.0,124.0,779.0,286875,2020-09-25,Hawaii,21.094318,-157.498337
126,IA,82045.0,662936.0,744981.0,,62648.0,1307.0,,744981,2020-09-25,Iowa,42.011539,-93.210526
127,ID,39234.0,260648.0,296412.0,1766.0,21105.0,457.0,1766.0,299882,2020-09-25,Idaho,44.240459,-114.478828
128,IL,286374.0,5079586.0,5365960.0,,,8807.0,,5365960,2020-09-25,Illinois,40.349457,-88.986137
129,IN,115407.0,1226055.0,1341462.0,12463.0,91866.0,3566.0,12463.0,1341462,2020-09-25,Indiana,39.849426,-86.258278
130,KS,56592.0,446178.0,502770.0,2816.0,2039.0,632.0,2816.0,502770,2020-09-25,Kansas,38.5266,-96.726486
131,KY,65066.0,1187262.0,1244628.0,5147.0,11677.0,1149.0,5147.0,1252328,2020-09-25,Kentucky,37.66814,-84.670067
132,LA,165152.0,2090913.0,2256065.0,,149640.0,5444.0,,2256065,2020-09-25,Louisiana,31.169546,-91.867805
133,MA,129481.0,2032933.0,3706728.0,12619.0,111479.0,9373.0,12619.0,2162414,2020-09-25,Massachusetts,42.230171,-71.530106
